Plant Code,NAME,TYPE,COAL_USED,NGAS_USED,OIL_USED,ADDRESS,CITY,STATE,ZIP,COUNTRY,lat,long,TYPE_Clear,TYPE_Clear_2,group
58786,DEER PARK,SOLAR PHOTOVOLTAIC,0,0,0,LONG ISLAND AVENUE,DEER PARK,NY,11729,USA,40.7706459,-73.29343613,SOLAR,SOLAR,SOLAR
58787,DENNISON,SOLAR PHOTOVOLTAIC,0,0,0,100 VETERANS MEMORIAL HIGHWAY,HAUPPAUGE,NY,11788,USA,40.82162881,-73.22427802,SOLAR,SOLAR,SOLAR
58788,NORTH COUNTY,SOLAR PHOTOVOLTAIC,0,0,0,725 VETERANS MEMORIAL HIGHWAY,HAUPPAUGE,NY,11788,USA,40.82677321,-73.23334852,SOLAR,SOLAR,SOLAR
58789,RIVERHEAD,SOLAR PHOTOVOLTAIC,0,0,0,200-201 CENTER DRIVE,RIVERHEAD,NY,11901,USA,40.91377034,-72.6697888,SOLAR,SOLAR,SOLAR
58790,COHALAN,SOLAR PHOTOVOLTAIC,0,0,0,400 CARLETON AVENUE,CENTRAL ISLIP,NY,11722,USA,40.76257922,-73.19318464,SOLAR,SOLAR,SOLAR
58791,KIRKWALL HOLDINGS,SOLAR PHOTOVOLTAIC,0,0,0,WEST OF INTERSTATE 40 AND SOUT,WARSAW,NC,27530,USA,34.988889,-78.1375,SOLAR,SOLAR,SOLAR
58792,AYRSHIRE,SOLAR PHOTOVOLTAIC,0,0,0,EAST OF BEAVER DAM CHURCH ROAD,SHELBY,NC,28152,USA,35.283056,-81.615278,SOLAR,SOLAR,SOLAR
58793,JMB MCGUIRE-DIX-LAKEHURST SOLAR PROJECT,SOLAR PHOTOVOLTAIC,0,0,0,"UNITED COMMUNITIES, 3700 CIRCL",MCGUIRE AFB,NJ,8641,USA,39.992818,-74.636933,SOLAR,SOLAR,SOLAR
58795,"HOBART SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,4120 W 49TH AVENUE,HOBART,IN,46342,USA,41.53000555,-87.30824734,SOLAR,SOLAR,SOLAR
58796,"WATERLOO SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,120 NORTH COMMERCE DR,WATERLOO,IN,46342,USA,41.43385093,-85.04286107,SOLAR,SOLAR,SOLAR
58797,"VALPARAISO SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,495 NORTH 45 WEST,VALPARAISO,IN,46383,USA,41.5028597,-87.16136798,SOLAR,SOLAR,SOLAR
58798,"AC CRIMINAL COURTS COMPLEX SPE2, LLC",SOLAR PHOTOVOLTAIC,0,0,0,4997 UNAMI BLVD,MAYS LANDING,NJ,8330,USA,39.43853507,-74.69064523,SOLAR,SOLAR,SOLAR
58799,PAMLICO PARTNERS SOLAR,SOLAR PHOTOVOLTAIC,0,0,0,1864 NC HIGHWAY 92 EAST,WASHINGTON,NC,27889,USA,35.50086683,-76.87846913,SOLAR,SOLAR,SOLAR
58800,HOP BOTTOM,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,0,0,PA STATE RD 2041 AND 2043,LENOX,PA,18826,USA,41.668056,-75.725,GAS,GAS,FOSSIL
58801,"ARBA SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,3943 HULL ROAD,SNOW HILL,NC,28580,USA,35.396389,-77.703611,SOLAR,SOLAR,SOLAR
58802,"FRANKLIN SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,151 FIRETOWER ROAD,LOUISBURG,NC,27549,USA,36.09686624,-78.17023085,SOLAR,SOLAR,SOLAR
58803,"KENANSVILLE SOLAR 2, LLC",SOLAR PHOTOVOLTAIC,0,0,0,120 NC 24 AND 50 HIGHWAY,KENANSVILLE,NC,28349,USA,34.96173227,-77.98003889,SOLAR,SOLAR,SOLAR
58804,"MCCASKEY SOLAR FARM, LLC",SOLAR PHOTOVOLTAIC,0,0,0,2076 MCCASKEY ROAD,WILLIAMSTON,NC,27892,USA,35.859444,-77.099167,SOLAR,SOLAR,SOLAR
58805,"SAMARCAND SOLAR FARM, LLC",SOLAR PHOTOVOLTAIC,0,0,0,1605 SAMARCAND ROAD,BISCOE,NC,27209,USA,35.31178086,-79.69343975,SOLAR,SOLAR,SOLAR
58806,ALBEMARLE SOLAR CENTER LLC,SOLAR PHOTOVOLTAIC,0,0,0,1110 CUNNINGHAM ROAD,KINSTON,NC,28501,USA,35.2970949,-77.55441984,SOLAR,SOLAR,SOLAR
58807,BOSEMAN SOLAR CENTER LLC,SOLAR PHOTOVOLTAIC,0,0,0,GOLD ROCK ROAD,ROCKY MOUNT,NC,27804,USA,36.00784481,-77.81033869,SOLAR,SOLAR,SOLAR
58808,FLEMMING SOLAR CENTER LLC,SOLAR PHOTOVOLTAIC,0,0,0,FLEMMING SCHOOL ROAD,GREENVILLE,NC,27834,USA,35.66902192,-77.38477252,SOLAR,SOLAR,SOLAR
58809,LITTLEFIELD SOLAR CENTER LLC,SOLAR PHOTOVOLTAIC,0,0,0,192 W. LITTLEFIELD ROAD,AYDEN,NC,28513,USA,35.43340121,-77.43840102,SOLAR,SOLAR,SOLAR
58810,RAMS HORN SOLAR CENTER LLC,SOLAR PHOTOVOLTAIC,0,0,0,1229 RAMS HORN ROAD,GREENVILLE,NC,27834,USA,35.64150097,-77.31496506,SOLAR,SOLAR,SOLAR
58811,BEAVER DAM,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,485045,0,WHEELERVILLE-MOUNTAIN RD AND B,CANTON TOWNSHIP,PA,17724,USA,41.61223371,-76.84078362,GAS,GAS,FOSSIL
58812,UPCHURCH SOLAR CENTER LLC,SOLAR PHOTOVOLTAIC,0,0,0,4468 UPCHURCH ROAD,ELM CITY,NC,27822,USA,35.78190139,-77.8847819,SOLAR,SOLAR,SOLAR
58813,ALPACA,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,538851,0,PA STATE RD 414 AND GLORY BARN,CANTON TOWNSHIP,PA,17724,USA,41.663056,-76.805556,GAS,GAS,FOSSIL
