City,Year,Lat,Long,Avg_Temp_Celsius
Abilene,2003,32.95,-100.53,17.79083333
Akron,2003,40.99,-80.95,9.879916667
Albuquerque,2003,34.56,-107.03,12.58191667
Alexandria,2003,39.38,-76.99,12.07275
Allentown,2003,40.99,-74.56,9.836
Amarillo,2003,34.56,-101.19,16.0105
Anaheim,2003,32.95,-117.77,17.10016667
Anchorage,2003,61.88,-151.13,-0.162833333
Ann Arbor,2003,42.59,-82.91,8.725833333
Antioch,2003,37.78,-122.03,15.42508333
Arlington,2003,32.95,-96.7,18.55375
Arlington,2003,39.38,-76.99,12.07275
Arvada,2003,39.38,-106.13,3.745833333
Atlanta,2003,34.56,-83.68,14.85366667
Aurora,2003,39.38,-104.05,10.03691667
Aurora,2003,40.99,-87.34,10.25675
Austin,2003,29.74,-97.85,20.36833333
Bakersfield,2003,36.17,-119.34,16.95825
Baltimore,2003,39.38,-76.99,12.07275
Baton Rouge,2003,29.74,-90.46,20.62916667
Beaumont,2003,29.74,-94.15,20.43541667
Bellevue,2003,47.42,-121.97,8.74075
Berkeley,2003,37.78,-122.03,15.42508333
Birmingham,2003,32.95,-87.13,17.5575
Boston,2003,42.59,-72,7.775666667
Bridgeport,2003,40.99,-72.43,10.3985
Brownsville,2003,26.52,-96.72,23.07441667
Buffalo,2003,42.59,-78.55,8.10025
Burbank,2003,34.56,-118.7,16.94466667
Cambridge,2003,42.59,-72,7.775666667
Cape Coral,2003,26.52,-82.39,23.87483333
Carrollton,2003,32.95,-96.7,18.55375
Cary,2003,36.17,-79.56,14.822
Cedar Rapids,2003,42.59,-91.64,8.711916667
Chandler,2003,32.95,-112.02,22.14558333
Charleston,2003,32.95,-79.47,19.1295
Charlotte,2003,34.56,-81.73,16.28383333
Chattanooga,2003,34.56,-85.62,15.45466667
Chesapeake,2003,36.17,-75.58,16.19891667
Chicago,2003,42.59,-87.27,10.48158333
Chula Vista,2003,32.95,-117.77,17.10016667
Cincinnati,2003,39.38,-85.32,11.48975
Clarksville,2003,36.17,-87.51,14.562
Clearwater,2003,28.13,-82.73,22.54041667
Cleveland,2003,40.99,-80.95,9.879916667
Colorado Springs,2003,39.38,-104.05,10.03691667
Columbia,2003,34.56,-81.73,16.28383333
Columbus,2003,32.95,-85.21,17.19483333
Columbus,2003,39.38,-83.24,11.61433333
Concord,2003,37.78,-122.03,15.42508333
Coral Springs,2003,26.52,-80.6,23.99991667
Corona,2003,32.95,-117.77,17.10016667
Corpus Christi,2003,28.13,-97.27,21.88083333
Costa Mesa,2003,32.95,-117.77,17.10016667
Dallas,2003,32.95,-96.7,18.55375
Dayton,2003,39.38,-83.24,11.61433333
Denton,2003,32.95,-96.7,18.55375
Denver,2003,39.38,-104.05,10.03691667
Des Moines,2003,40.99,-93.73,10.65733333
Detroit,2003,42.59,-82.91,8.725833333
Downey,2003,34.56,-118.7,16.94466667
Durham,2003,36.17,-79.56,14.822
East Los Angeles,2003,34.56,-118.7,16.94466667
Edison,2003,40.99,-74.56,9.836
El Monte,2003,34.56,-118.7,16.94466667
El Paso,2003,31.35,-105.55,16.93616667
Elizabeth,2003,40.99,-74.56,9.836
Escondido,2003,32.95,-117.77,17.10016667
Eugene,2003,44.2,-122.98,11.01066667
Evansville,2003,37.78,-87.46,13.71158333
Fairfield,2003,37.78,-122.03,15.42508333
Fayetteville,2003,34.56,-79.78,16.81466667
Flint,2003,42.59,-82.91,8.725833333
Fontana,2003,34.56,-116.76,18.19566667
Fort Collins,2003,40.99,-104.38,9.43625
Fort Lauderdale,2003,26.52,-80.6,23.99991667
Fort Wayne,2003,40.99,-85.21,9.875
Fort Worth,2003,32.95,-96.7,18.55375
Fremont,2003,37.78,-122.03,15.42508333
Fresno,2003,36.17,-119.34,16.95825
Fullerton,2003,32.95,-117.77,17.10016667
Gainesville,2003,29.74,-83.08,20.67058333
Garden Grove,2003,32.95,-117.77,17.10016667
Garland,2003,32.95,-96.7,18.55375
Gilbert,2003,32.95,-112.02,22.14558333
Glendale,2003,32.95,-112.02,22.14558333
Glendale,2003,34.56,-118.7,16.94466667
Grand Prairie,2003,32.95,-96.7,18.55375
Grand Rapids,2003,42.59,-85.09,8.798083333
Green Bay,2003,44.2,-87.2,7.582
Greensboro,2003,36.17,-79.56,14.822
Hampton,2003,36.17,-75.58,16.19891667
Hartford,2003,40.99,-72.43,10.3985
Hayward,2003,37.78,-122.03,15.42508333
Henderson,2003,36.17,-115.36,18.64958333
Hialeah,2003,26.52,-80.6,23.99991667
Highlands Ranch,2003,39.38,-104.05,10.03691667
Hollywood,2003,26.52,-80.6,23.99991667
Houston,2003,29.74,-96,20.685
Huntington Beach,2003,32.95,-117.77,17.10016667
Huntsville,2003,34.56,-85.62,15.45466667
