City,Year,Lat,Long,Avg_Temp_Celsius
Abilene,1993,32.95,-100.53,16.67541667
Akron,1993,40.99,-80.95,9.996
Albuquerque,1993,34.56,-107.03,11.40116667
Alexandria,1993,39.38,-76.99,12.39041667
Allentown,1993,40.99,-74.56,10.04091667
Amarillo,1993,34.56,-101.19,14.66425
Anaheim,1993,32.95,-117.77,16.85625
Anchorage,1993,61.88,-151.13,-0.016916667
Ann Arbor,1993,42.59,-82.91,8.671666667
Antioch,1993,37.78,-122.03,14.96891667
Arlington,1993,32.95,-96.7,17.81783333
Arlington,1993,39.38,-76.99,12.39041667
Arvada,1993,39.38,-106.13,2.202583333
Atlanta,1993,34.56,-83.68,14.77716667
Aurora,1993,39.38,-104.05,8.183416667
Aurora,1993,40.99,-87.34,9.948
Austin,1993,29.74,-97.85,19.72325
Bakersfield,1993,36.17,-119.34,16.05716667
Baltimore,1993,39.38,-76.99,12.39041667
Baton Rouge,1993,29.74,-90.46,20.21266667
Beaumont,1993,29.74,-94.15,19.89933333
Bellevue,1993,47.42,-121.97,7.682416667
Berkeley,1993,37.78,-122.03,14.96891667
Birmingham,1993,32.95,-87.13,17.11816667
Boston,1993,42.59,-72,7.835916667
Bridgeport,1993,40.99,-72.43,10.56575
Brownsville,1993,26.52,-96.72,22.69616667
Buffalo,1993,42.59,-78.55,7.922
Burbank,1993,34.56,-118.7,16.36316667
Cambridge,1993,42.59,-72,7.835916667
Cape Coral,1993,26.52,-82.39,23.40616667
Carrollton,1993,32.95,-96.7,17.81783333
Cary,1993,36.17,-79.56,14.91691667
Cedar Rapids,1993,42.59,-91.64,7.758833333
Chandler,1993,32.95,-112.02,21.20083333
Charleston,1993,32.95,-79.47,18.995
Charlotte,1993,34.56,-81.73,16.40108333
Chattanooga,1993,34.56,-85.62,15.23275
Chesapeake,1993,36.17,-75.58,16.12191667
Chicago,1993,42.59,-87.27,10.18375
Chula Vista,1993,32.95,-117.77,16.85625
Cincinnati,1993,39.38,-85.32,11.32775
Clarksville,1993,36.17,-87.51,14.35725
Clearwater,1993,28.13,-82.73,22.15183333
Cleveland,1993,40.99,-80.95,9.996
Colorado Springs,1993,39.38,-104.05,8.183416667
Columbia,1993,34.56,-81.73,16.40108333
Columbus,1993,32.95,-85.21,16.81183333
Columbus,1993,39.38,-83.24,11.60183333
Concord,1993,37.78,-122.03,14.96891667
Coral Springs,1993,26.52,-80.6,23.48883333
Corona,1993,32.95,-117.77,16.85625
Corpus Christi,1993,28.13,-97.27,21.46041667
Costa Mesa,1993,32.95,-117.77,16.85625
Dallas,1993,32.95,-96.7,17.81783333
Dayton,1993,39.38,-83.24,11.60183333
Denton,1993,32.95,-96.7,17.81783333
Denver,1993,39.38,-104.05,8.183416667
Des Moines,1993,40.99,-93.73,9.379083333
Detroit,1993,42.59,-82.91,8.671666667
Downey,1993,34.56,-118.7,16.36316667
Durham,1993,36.17,-79.56,14.91691667
East Los Angeles,1993,34.56,-118.7,16.36316667
Edison,1993,40.99,-74.56,10.04091667
El Monte,1993,34.56,-118.7,16.36316667
El Paso,1993,31.35,-105.55,16.0685
Elizabeth,1993,40.99,-74.56,10.04091667
Escondido,1993,32.95,-117.77,16.85625
Eugene,1993,44.2,-122.98,9.745583333
Evansville,1993,37.78,-87.46,13.45875
Fairfield,1993,37.78,-122.03,14.96891667
Fayetteville,1993,34.56,-79.78,16.92166667
Flint,1993,42.59,-82.91,8.671666667
Fontana,1993,34.56,-116.76,17.16541667
Fort Collins,1993,40.99,-104.38,7.4595
Fort Lauderdale,1993,26.52,-80.6,23.48883333
Fort Wayne,1993,40.99,-85.21,9.811666667
Fort Worth,1993,32.95,-96.7,17.81783333
Fremont,1993,37.78,-122.03,14.96891667
Fresno,1993,36.17,-119.34,16.05716667
Fullerton,1993,32.95,-117.77,16.85625
Gainesville,1993,29.74,-83.08,20.31591667
Garden Grove,1993,32.95,-117.77,16.85625
Garland,1993,32.95,-96.7,17.81783333
Gilbert,1993,32.95,-112.02,21.20083333
Glendale,1993,32.95,-112.02,21.20083333
Glendale,1993,34.56,-118.7,16.36316667
Grand Prairie,1993,32.95,-96.7,17.81783333
Grand Rapids,1993,42.59,-85.09,8.5035
Green Bay,1993,44.2,-87.2,7.24975
Greensboro,1993,36.17,-79.56,14.91691667
Hampton,1993,36.17,-75.58,16.12191667
Hartford,1993,40.99,-72.43,10.56575
Hayward,1993,37.78,-122.03,14.96891667
Henderson,1993,36.17,-115.36,17.31291667
Hialeah,1993,26.52,-80.6,23.48883333
Highlands Ranch,1993,39.38,-104.05,8.183416667
Hollywood,1993,26.52,-80.6,23.48883333
Houston,1993,29.74,-96,20.1015
Huntington Beach,1993,32.95,-117.77,16.85625
Huntsville,1993,34.56,-85.62,15.23275
Independence,1993,39.38,-93.64,11.33583333
Indianapolis,1993,39.38,-85.32,11.32775
Inglewood,1993,34.56,-118.7,16.36316667
Irvine,1993,32.95,-117.77,16.85625
Irving,1993,32.95,-96.7,17.81783333
